2026-05-26 15:55:03,266 | INFO | payments
2026-05-26 15:55:03,266 | ERROR | payments
2026-05-26 15:55:03,266 | WARNING | payments
2026-05-26 15:55:39,115 | INFO | payments
2026-05-26 15:55:39,115 | ERROR | payments
2026-05-26 15:55:39,115 | WARNING | payments
2026-05-26 15:55:49,728 | INFO | payments
2026-05-26 15:55:49,728 | ERROR | payments
2026-05-26 15:55:49,728 | WARNING | payments
2026-05-26 15:56:06,423 | INFO | payments
2026-05-26 15:56:06,423 | ERROR | payments
2026-05-26 15:56:06,423 | WARNING | payments
2026-05-26 15:56:11,849 | INFO | payments
2026-05-26 15:56:11,849 | ERROR | payments
2026-05-26 15:56:11,849 | WARNING | payments
2026-05-26 15:56:53,955 | INFO | payments
2026-05-26 15:56:53,960 | ERROR | payments
2026-05-26 15:56:53,960 | WARNING | payments
